scoring	0.0 Hz	1.2 Hz	2.5 Hz	3.7 Hz	5.0 Hz	6.2 Hz	7.5 Hz	8.7 Hz	10.0 Hz	11.2 Hz	12.5 Hz	13.7 Hz	15.0 Hz	16.2 Hz	17.5 Hz	18.7 Hz	20.0 Hz	21.2 Hz	22.5 Hz	23.7 Hz	25.0 Hz	26.2 Hz	27.5 Hz	28.7 Hz	30.0 Hz	31.2 Hz	32.5 Hz	33.7 Hz	34.9 Hz	36.2 Hz	37.4 Hz	38.7 Hz	39.9 Hz	41.2 Hz	42.4 Hz	43.7 Hz	44.9 Hz	46.2 Hz	47.4 Hz	48.7 Hz	signal	motion	accelerometer
na	10.489	71.713	203.027	359.819	444.304	359.828	340.257	251.051	207.3	86.106	82.997	46.356	51.628	57.855	41.267	38.966	43.54	25.073	20.39	25.649	17.162	17.77	19.033	13.758	18.723	11.782	10.84	7.907	4.807	6.756	5.767	3.979	2.654	2.803	2.947	2.454	1.843	1.864	1.24	1.126	48.504	0.106	0.106
na	5.643	46.739	130.468	220.576	385.183	350.903	321.931	366.117	265.223	119.316	82.035	56.763	57.216	45.991	40.297	57.929	68.461	34.121	43.911	16.881	20.511	25.794	14.883	19.553	15.95	11.983	10.392	9.093	7.589	7.075	8.542	4.312	5.068	6.033	2.266	3.315	2.476	1.848	2.515	1.907	47.217	0.127	0.127
na	7.395	81.986	185.194	221.777	183.54	198.106	250.803	396.169	282.939	156.167	78.678	47.662	37.525	36.43	44.233	44.318	38.661	35.273	28.076	22.447	22.636	17.008	21.346	19.156	19.889	10.751	13.379	10.983	7.875	6	5.949	6.583	5.572	3.963	3.356	3.538	3.649	1.847	1.647	1.75	44.643	0.104	0.104
na	9.945	63.325	198.655	219.055	244.52	462.011	450.661	302.636	191.175	102.948	108.004	57.107	47.465	46.442	48.706	41.217	32.797	19.61	20.034	21.591	18.818	17.798	12.565	14.245	9.94	16.907	9.223	6.331	7.668	5.813	7.232	4.02	3.915	2.433	2.423	2.274	2.711	1.688	1.406	1.204	47.443	0.094	0.094
na	5.477	57.969	211.637	198.617	206.205	231.21	280.442	510.274	195.443	97.081	95.08	55.872	52.029	49.199	42.464	46.258	27.807	31.715	24.357	23.642	18.987	15.54	20.018	20.758	18.642	15.182	9.361	13.249	11.16	8.238	7.712	4.018	3.201	3.859	3.587	3.301	2.962	2.83	1.918	1.698	46.297	0.137	0.137
na	7.007	83.7	283.181	277.264	429.168	449.895	356.846	285.362	238.207	147.567	89.066	75.954	49.993	47.602	65.029	46.431	37.025	37.836	24.826	25.562	23.923	14.913	10.591	9.773	11.256	14.198	8.234	6.318	8.085	7.52	7.323	4.904	4.085	4.309	2.665	3.265	3.198	2.748	1.983	1.95	50.965	0.107	0.107
na	6.074	53.128	149.679	278.752	414.349	456.171	544.844	350.135	146.285	103.621	90.602	64.393	55.964	51.245	27.405	39.232	23.149	32.449	25.929	18.909	21.356	10.637	9.564	14.697	9.156	8.775	10.883	5.313	7.686	5.132	4.025	4.46	3.141	2.865	3.144	2.613	2.33	1.542	2.097	1.702	50.101	0.175	0.175
na	10.334	72.657	230.715	331.032	559.412	809.531	257.766	202.511	162.223	119.982	100.921	77.214	47.185	40.546	37.648	30.171	36.935	13.192	25.182	13.408	19.386	15.227	10.977	9.104	10.339	6.869	8.437	6.926	7.108	4.556	4.529	4.006	2.977	2.717	2.059	2.065	2.014	2.811	1.731	1.91	51.305	0.245	0.245
na	6.147	44.819	152.112	347.856	511.653	667.735	381.516	235.576	243.124	132.136	58.792	60.918	40.111	46.76	38.84	19.224	23.499	22.836	17.443	14.058	16.785	13.596	15.446	14.264	10.151	6.688	6.941	7.421	4.871	5.611	3.228	3.963	4.591	3.54	2.266	1.934	1.841	1.112	1.639	1.622	50.974	0.316	0.316
na	13.583	50.507	135.837	218.009	824.966	545.793	277.145	256.295	185.339	103.281	58.516	50.049	64.27	52.379	36.19	19.737	26.857	19.429	19.216	18.857	22.097	11.991	12.479	19.68	7.737	7.626	8.827	5.923	4.889	7.264	4.031	4.069	3.818	3.405	2.628	1.714	2.002	1.182	1.031	1.429	50.066	0.285	0.285
